Job Title,Company,Location,Category
Software ﻿QA Engineer Testing,CodeBee Nepal Pvt. Ltd.(Sister Concern Of WallBee APS),"Engineering - Software, Software Development"
Software Developer Dot Net,CodeBee Nepal Pvt. Ltd.(Sister Concern Of WallBee APS),"Engineering - Software, Software Development"
"Interpreter, Translator, Bridge Engineer, Highway Engineer, HSE, Civil Engineer, Office Staff",Poly Changda Engineering Company,"Engineering - Civil, Engineering - Structural, Office Assistant"
Expression of Interest to Conduct Training of Trainers (TOT),Access Planet Organization,"Development and Project, Expression of Interests, Tender Notice, Bid"
Admin Associate,Bagmati Welfare Society Nepal(BWSN),"Administrative / Management, Development and Project"
बाख्रा आपुर्ति सम्बन्धि टेण्डर आह्वान गरिएको सूचना,CEAD Nepal Doti,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Call for Proposal for consultancy service,Association of Community Radio Broadcasters Nepal,"Development and Project, Expression of Interests, Tender Notice, Bid"
Individual Consultant - Capacity Building Officer,UNDP,"Development and Project, Environment and climate"
Province Director,KIRDARC-Nepal,"Education, Social Science, Development and Project"
Various,Vijay Motors Pvt. Ltd.,Automotive / Automobiles
Crew Member (All-rounder),JobsNepal.com Direct Recruitment Service,Hospitality / Hotel
Administrative Officer,JobsNepal.com Direct Recruitment Service,Administrative / Management
