Job Title,Company,Location,Category
Request for Proposal (RFP),FHI 360 Nepal,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO"
Request for Proposal,USAID Karnali Water Activity,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
Front Desk Receptionist,NCA College of Management,Kathmandu,Front Desk / Reception
Sr. System Administrator,LIS Nepal Pvt. Ltd. (Sister Concern of Yomari Group of Companies),Computer - Hardware / Network,Kathmandu
Technical Support Officer.,JobsNepal.com Direct Recruitment Service,"Technical, Computer - Hardware / Network",Administrative / Management
HR Intern,LIS Nepal Pvt. Ltd. (Sister Concern of Yomari Group of Companies),Kathmandu,"Development and Project, Development / NGO, Think Tank, Research Institution"
Economist (Environmental Economics) and Economist (Trade),"SOUTH ASIA WATCH ON TRADE, ECONOMICS AND ENVIRONMENT (SAWTEE)",Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO"
Request for Concept Notes,Winrock International (Feed the Future Nepal USAID Agricultural Inputs),Kathmandu,"Engineering - Computer, Computer - Programming, Software Development"
Java Developer,Code Fusion Technologies Pvt. Ltd.,Kathmandu,Geotechnical Engineer
Geologist/Geophysicist,Albelo Multi Trading Pvt. Ltd,Kathmandu,"Engineering - Software, Software Development"
