Currency_Code,Currency_x,Country,Currency_y,Units,Buy,Sell
EUR,Euro,ÅLAND ISLANDS,European Euro,1,143.56,144.21
USD,US Dollar,AMERICAN SAMOA,U.S. Dollar,1,133.32,133.92
EUR,Euro,ANDORRA,European Euro,1,143.56,144.21
AUD,Australian Dollar,AUSTRALIA,Australian Dollar,1,88.11,88.51
EUR,Euro,AUSTRIA,European Euro,1,143.56,144.21
BHD,Bahraini Dinar,BAHRAIN,Bahrain Dinar,1,353.6,355.19
EUR,Euro,BELGIUM,European Euro,1,143.56,144.21
INR,Indian Rupee,BHUTAN,Indian Rupee,100,160.0,160.15
USD,US Dollar,"BONAIRE, SINT EUSTATIUS AND    SABA",U.S. Dollar,1,133.32,133.92
USD,US Dollar,BRITISH INDIAN OCEAN    TERRITORY (THE),U.S. Dollar,1,133.32,133.92
CAD,Canadian Dollar,CANADA,Canadian Dollar,1,97.47,97.91
CNY,Yuan Renminbi,CHINA,Chinese Yuan,1,18.47,18.55
AUD,Australian Dollar,CHRISTMAS ISLAND,Australian Dollar,1,88.11,88.51
AUD,Australian Dollar,COCOS (KEELING) ISLANDS (THE),Australian Dollar,1,88.11,88.51
EUR,Euro,CROATIA,European Euro,1,143.56,144.21
EUR,Euro,CYPRUS,European Euro,1,143.56,144.21
DKK,Danish Krone,DENMARK,Danish Kroner,1,19.25,19.33
USD,US Dollar,ECUADOR,U.S. Dollar,1,133.32,133.92
USD,US Dollar,EL SALVADOR,U.S. Dollar,1,133.32,133.92
EUR,Euro,ESTONIA,European Euro,1,143.56,144.21
EUR,Euro,EUROPEAN UNION,European Euro,1,143.56,144.21
DKK,Danish Krone,FAROE ISLANDS (THE),Danish Kroner,1,19.25,19.33
EUR,Euro,FINLAND,European Euro,1,143.56,144.21
EUR,Euro,FRANCE,European Euro,1,143.56,144.21
EUR,Euro,FRENCH GUIANA,European Euro,1,143.56,144.21
EUR,Euro,FRENCH SOUTHERN TERRITORIES    (THE),European Euro,1,143.56,144.21
EUR,Euro,GERMANY,European Euro,1,143.56,144.21
EUR,Euro,GREECE,European Euro,1,143.56,144.21
DKK,Danish Krone,GREENLAND,Danish Kroner,1,19.25,19.33
EUR,Euro,GUADELOUPE,European Euro,1,143.56,144.21
USD,US Dollar,GUAM,U.S. Dollar,1,133.32,133.92
GBP,Pound Sterling,GUERNSEY,UK Pound Sterling,1,167.27,168.02
USD,US Dollar,HAITI,U.S. Dollar,1,133.32,133.92
AUD,Australian Dollar,HEARD ISLAND AND McDONALD    ISLANDS,Australian Dollar,1,88.11,88.51
