Job Title,Company,Location,Category
Customer Service Representative (Female Only),Brothermart Pvt Ltd,Kathmandu,"Customer Service, Front Desk / Reception"
Monitoring and Evaluation Assistant,Women Association for Marginalized Women (WAM) Surkhet,Birendranagar Surkhet,"Development and Project, Development / NGO"
Psychologist,Spinal Injury Sangh Nepal (SISN),Kavrepalanchowk,Health Medicine
Invitation for Bids,FAYA Nepal,"Dhangadhi, Kailali",Construction Services
Project Manager,Verisk Nepal Pvt. Ltd.,Kathmandu,Information Technology
Invitation for sealed bids For the supply of Pustak Thaili,KIRDARC-Nepal,Kalikot,"Development and Project, Expression of Interests, Tender Notice, Bid"
Brand Manager,Good Smile Dental,Public Relation / Advertising,"Lalitpur, Pokhara"
Request for Sealed Proposal (RfP) Notice For Consultancy Assignment,LI-BIRD,"Agriculture, Development and Project, Expression of Interests, Tender Notice, Bid","Dhangadhi, Kailali"
Request for Proposal (RFP) for the Consultancy Services,CSSD Kailali,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Kathmandu
Expression of Interest (EOI),Voices of Women Media,"Development and Project, Expression of Interests, Tender Notice, Bid, Video Production",Kathmandu
Nutrition cum Quality Control Officer,Food For Life Nepal,"Development and Project, Food Technology","Kavrepalanchowk, Kalikot, Achham"
Agro-Forestry Officer / Junior Technical Assistant (JTAs),ECOHIMAL NEPAL,"Development and Project, Agriculture / Horticulture, Development / NGO",Pokhara
"Invitation for Bids for the Procurement, Supply and Commissioning of Various Medical Equipments",International Nepal Fellowship,"Development and Project, Expression of Interests, Tender Notice, Bid","Kathmandu, Pokhara, Kaski"
होस्टेल वार्डेन / आउटरिच ओर्कर,Shakti Samuha,"Development and Project, Development / NGO",Jumla
Multiple Positions,KIRDARC-Nepal,"Education, Development and Project, Development / Administrative",Nepalgunj
Program Officer,Heifer International Nepal,"Development and Project, Development / INGO","Development and Project, Environment and Natural Resource"
Senior Program Manager,CREASION,"Nepalgunj, bharatpur, Dhangadhi","Accounting and Finance, Development and Project, Development / INGO"
Business and Market Systems Trainee,Winrock International (Feed the Future Nepal USAID Agricultural Inputs),Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO"
Request for Proposal (RFP) for Baseline Survey,DanChurchAid (DCA),Chitwan,"Education, Development and Project, Development / Administrative, NGO/INGO/Social work"
Vacancies for various positions on Inclusive Education,Autism Care Chitwan Society,Nepalgunj,"Development and Project, Finance & Administration"
Admin and Finance Officer,Bheri Environmental Excellence Group (BEE-Group) Banke,Kalikot,"Development and Project, Expression of Interests, Tender Notice, Bid"
शिलबन्दी बोलपत्र आह्वानको सूचना,KIRDARC-Nepal,Kathmandu,"Customer Service, Client Servicing Representative"
Senior Client Servicing Representative / Client Servicing Representative,Trikon Advertising Service,"Janakpur, Surkhet","Development and Project, Communication"
Vacancy Announcement Digital and Communication Specialist,CARE Nepal,"Rajbiraj, Saptari","Public Health, Development and Project, Development / NGO, Nursing"
"Field Officer - Health (MNH, SHN & ARSH)","Save the Saptari, Rajbiraj",Lalitpur,"Expression of Interests, Tender Notice, Bid, Development / INGO"
EOI-Consultancy Service for Geo-spatial feature digitization for Mohana and Macheli Watershed,Mercy Corps,"Rupandehi, Lumbini Province","Engineering - Environment, Development and Project, Environment and Natural Resource, Development / NGO, Development / INGO, NGO/INGO/Social work, Environment and climate"
Terms of Reference (TOR) to identify and implement school-based preparedness actions by mobilizing local disaster management committees,Center for Development and Disaster Management (CDM-Nepal),Kathmandu,Consulting & Professional Services
Project Team Leader  for Gandaki Basin Climate Resilient Project (GBCRP) - (Full time individual consultant),IUCN Nepal,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
Request for Proposal,Rural Reconstruction Nepal,Kathmandu,"Administrative / Management, Accounting and Finance, Development and Project"
Procurement Logistics Assistant,IOM Nepal,Kathmandu,Consulting & Professional Services
