Job Title,Company,Location,Category
Crew Member (All-rounder),JobsNepal.com Direct Recruitment Service,Kathmandu,Hospitality / Hotel
Project Officer,"Hilly Region Development Campaign (HRDC), Jajarkot",Jajarkot,"Development and Project, NGO/INGO/Social work, Agriculture/Livelihood"
Finance Officer,Centre for Mental Health &amp; Counselling Nepal,Birendranagar Surkhet,
Senior PHP Developer,GreenCodes Nepal,Kathmandu,"Information Technology, Web Designing &amp; Programming, Engineering - Software, Computer - Programming, Web Development, Web Design, Web Designing and Programming, Core PHP Developer"
Vacancy Announcement for Various Positions,Women&#039;s Rehabilitation Centre (WOREC),"Kathmandu, Dhanusha, Kailali, Dang, Sarlahi, Rukum, Mahottari","Development and Project, Counseling / PsychoSocial, Development / NGO"
PROJECT MANAGER,Mercy Corps,Lalitpur,Development / INGO
Terms of Reference (TOR) for Establishing water quality testing mini-laboratories,Rural Reconstruction Nepal,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Request for Quotation (RFQ) For the selection of supplier/registered companies for Installation of Bio-Sand Filter In Ekdara Rural Municipality and Samsi Rural Municipality -Mahottari,Dalit Society Welfare Committee Nepal,Mohattari,"Development and Project, Expression of Interests, Tender Notice, Bid"
Vacancy Announcement for the Post of Admin Finance Officer,SabalNepal,Terai Region,Administrative / Management
"Request for Proposal-Scoping Study, Development, and Implementation of Local Insurance Products for Water Supply and Sanitation Infrastructure",USAID Karnali Water Activity,Kathmandu,"Development and Project, Development / NGO"
Research Associate,SW Nepal Pvt Ltd,Kathmandu,"Development and Project, Research, Business Development"
"EXPRESSION OF INTEREST (EOI) AND QUOTATION  For Procuring Stationery Materials, School Bags and Uniform Under SIKAI Project",VSO Nepal,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid"
Invitation for Bids,Lumbini Integrated Development Organization,Kapilvastu,"Development and Project, Expression of Interests, Tender Notice, Bid"
Program Officer /  Finance and Admin Officer,Sancharika Samuha Nepal,Lalitpur,"Accounting and Finance, Social Science, Development and Project, Finance &amp; Administration"
Call for Expression of Interest (EOI),Yuwalaya,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid"
Head of Finance and Operations,Renewable World,Kathmandu,"Accounting and Finance, Development / INGO"
Vacancy Announcement for Various Positions,Community Development Centre (CDC),Dhangadhi,"Accounting and Finance, Development and Project, Finance &amp; Administration, NGO/INGO/Social work"
Procurement Notice - Road Safety Expert/Team Leader:,UNDP,Kathmandu,"Transportation, Engineering - Civil, Development and Project"
Procurement Notice - Legal Expert,UNDP,Kathmandu,"Legal, Development and Project, law"
Research Assistant,CREHPA,"Dhanusha, Sarlahi","Development and Project, Research, Development / NGO"
Procurement Notice - Mechanical Engineer,UNDP,Kathmandu,"Engineering - Mechanical, Development and Project"
Procurement Notice - GESI Specialist,UNDP,Kathmandu,"Public Health, Social Science, Development and Project"
Terms of Reference (TOR) of Consultant: School Construction Engineer,Street Child of Nepal,Jajarkot,"Engineering - Civil, Development and Project"
Various Positions,CRS Nepal,"Kathmandu, Rukum West, Jajarkot","Engineering - Environment, Development and Project"
Invitation to sealed Tender For Long Term Service Agreement for Hotel Services and Vehicle Hiring Services,ADRA Nepal,Lalitpur,"Hotel / Resort Business, Development and Project, Expression of Interests, Tender Notice, Bid"
REQUEST FOR PROPOSAL – Curriculum Development Specialist,MinErgy Private Limited,Lalitpur,"Expression of Interests, Tender Notice, Bid, Development / NGO"
Terms of Reference for Development of a Public Service Announcement (PSA) Video,Center for Dalit Women Nepal,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Program Officer -Kathmandu Program,MDM France,Kathmandu,"Development and Project, Development / INGO"
Vacancy Announcement of Driver,CARE Nepal,Kathmandu,"Development / NGO, Driver"
Program Officer -Kavre Program,MDM France,Kavre,"Development and Project, Development / INGO"
Associate Scientist,Possible,Kathmandu,"Development and Project, Development / NGO"
REQUEST FOR QUOTATION,Save the Children,Kathmandu,"Expression of Interests, Tender Notice, Bid, Development studies, Management"
प्रस्ताव पत्र आह्वान,Sahayogi Samaj Nepal,Sarlahi,"Development and Project, Development / NGO"
Call for Expression of Interest (EOI) for Consultant Roster,Heifer International Nepal,Lalitpur,"Expression of Interests, Tender Notice, Bid"
Project Coordinator,UN Nepal Gorkha,Gorkha,"Development and Project, Development / NGO"
Expression of Interest (EOI),Deloitte,"Kathmandu, Bhaktapur, Lalitpur, Kavre","Hotel / Resort Business, Development and Project, Expression of Interests, Tender Notice, Bid"
Program Officer/ Community Facilitator/ Community Facilitator,SOSEC Nepal,Dailekh,"Development and Project, NGO/INGO/Social work"
बोलपत्र/दरभाऊ प्रस्ताव आह्वानको सूचना,AMDA Nepal,Kathmandu,"Development / Administrative, Expression of Interests, Tender Notice, Bid"
TORs Project accounting and Reporting Module,Deloitte Consulting Overseas Projects LLC,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
ToR for Internal Control audit module,Deloitte Consulting Overseas Projects LLC,Kathmandu,"Development / Administrative, Expression of Interests, Tender Notice, Bid, Auditing"
INVITATION FOR SEALED QUOTATION FOR OPC Cement/43 Grade,Nepal Water for Health (NEWAH),Sindhuli,"Development and Project, Expression of Interests, Tender Notice, Bid"
INVITATION FOR SEALED QUOTATION FOR SUBMERSIBLE PUMP &amp; ACCESSORIES,Nepal Water for Health (NEWAH),Sindhuli,"Development and Project, Expression of Interests, Tender Notice, Bid"
Various Positions,Brand AD Pvt Ltd,Kathmandu,"Graphic Design, Engineering - Software, Marketing, Internet Marketing"
Customer Support&#039;s Shift Senior,Insolutions,"Kathmandu, Bhaktapur, Lalitpur, Pokhara, Other - Specify, Terai Region, Eastern Region, Western Region, Far-Western Region, Damak, Kavre, Mahendra Nagar","Administrative / Management, Abroad Employment, Customer Service, Internet Marketing, Communication, Client Servicing Manager"
कृषि प्राविधिक,Action Nepal ,Dhading,"Agriculture, Development and Project"
कर्मचारी आवश्यकता सम्बन्धी सुचना,Centre for Mental Health &amp; Counselling Nepal,Dhanusha,Counseling / PsychoSocial
Call for Expression of Interest (EOI),FEDERATION OF HANDICRAFT ASSOCIATIONS OF NEPAL,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
Terms of Reference for an Invitation to Sealed Bid,Center for Dalit Women Nepal,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
दरभाउ पेश गर्ने सम्बन्धि सूचना,Rural Community Development Center (RCDC) Besishahar,Lamjung,Development and Project
SENIOR  QA ENGINEER(Automation) On Site Work,GrowByData Services Pvt. Ltd.,Lalitpur,"Engineering - Software, Software Development"
Database Administrator (Office based),"Sundar Nepal Sanstha (BNA), surkhet",Surkhet,"Information Technology, Development and Project, Database administrator"
Agriculture Technician/JTA,SAHAMATI,"Lalitpur, Surkhet","Development and Project, Agriculture/Livelihood"
REQUEST FOR PROPOSAL,Street Child of Nepal,"Manthali, Ramechhap","Development and Project, Expression of Interests, Tender Notice, Bid"
परियोजना संयोजक (Project Coordinator),Mountain Social welfare Center(MSWC),Baglung,"Agriculture + Livestock, Development and Project, Development / NGO"
सूची दर्ता गर्ने बारेको सूचना ।,Nepal Water for Health (NEWAH),Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Vacancy Announcement for Multiple Positions,HERD International,Kathmandu,"Information Technology, Development and Project"
Grants and Procurement Specialist,USAID Tayar Nepal,Lalitpur,"Development and Project, Development / INGO"
Assistant Music Teacher / Graphic Designer / Car Driver,Shanti Business Academy Pvt.Ltd,Chitwan,"Graphic Design, Teachers, Driver, Music Teacher"
डिजिटल पुस्तकालय स्थापना तथा सूचना र सञ्चार प्रविधि (ICT) सम्बन्धी तालिमको लागि सिलबन्दी दरभाउ आह्वान,Autism Care Chitwan Society,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
Software Developer Dot Net (Mid),CodeBee Nepal Pvt. Ltd.(Sister Concern Of WallBee APS),Lalitpur,"Engineering - Software, Software Development"
Project Officer,Heifer Project Nepal,Lamjung,"Development and Project, Development / INGO"
Dental Hygienist / Staff Nurse / Pharmacy Assistant,Human Development and Community Services (HDCS),Dadeldhura,"Medical / Nursing, Development / NGO, Pharmacist"
REQUEST FOR PROPOSAL (RFP),Rural Women&#039;s Development and Unity Centre (RUWDUC),"Dadeldhura, Doti, Achham","Development and Project, Expression of Interests, Tender Notice, Bid"
Finance Officer / Field Assistant,Astha Nepal,Lalitpur,"Accounting and Finance, Development and Project, Finance &amp; Administration"
Travel sales agent,Westshore travels Pvt Ltd,Bhaktapur,Travel &amp; Ticketing
Call for Nominations: Stella Tamang Peace Innovations Award 2024 | स्टेला तामाङ शान्ति सम्मान २०२४ को लागि मनोनयन आह्वान,Nepal Forum for Restorative Justice (NFRJ),Kathmandu,
Call for Expression of Interest for the Province- Level Research on Access to Justice for Women with Disabilities,Access Planet Organization,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid"
Youtube Live Co-Host,Zerry Entertainment,Birendranagar Surkhet,Online Media
Project Officer,CRS Nepal,Kathmandu,Development and Project
ARH GESI Officer (महिला मात्र),Social Awareness Center SAC Nepal,Kathmandu,"Public Health, Development and Project, Nursing"
Laravel Developer,Cyberlink Pvt. Ltd.,Kathmandu,"Computer  - Technology/Management, Computer - System Programming, Computer - Programming, Web Designing and Programming"
SENIOR SALES AND MARKETING EXECUTIVE,Gurkha Watch and Accessories,Kathmandu,"Sales, Marketing"
GRAPHIC DESIGNER,Gurkha Watch and Accessories,Kathmandu,Graphic Design
Outbound Sales Assistant,Fishtail Tours &amp; Travels Pvt Ltd,Kapilvastu,"Tourism Industry, Travel &amp; Ticketing"
Tour Company Manager With IT SKILLS.,Admire Nepal Tours &amp; Trek,"Kathmandu, Janakpur, Surkhet","Tourism Industry, Information Technology"
Monitoring Documentation and Reporting Officer (MDRO),Forum for Rural Welfare and Agricultural Reform for Development (FORWARD) Nepal,Lalitpur,"Development and Project, Development / NGO, Agriculture/Livelihood"
Project Manager &amp; Project Officers,One Heart Worldwide,Lalitpur,"Public Health, Development and Project, Development / INGO, Nursing"
Invitation to Bid for Annual Health Package and Group Medical and Personal Accidental Insurance Services,Good Neighbors International,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
Request for Proposal (RFP): Research on Landscape Analysis of Urbanization in Nepal Or Scoping Study for Urban Programming,World Vision International Nepal,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO"
Invitation to the Proposal for Content Review of “Meri Sangini” Mobile Application,Nepal CRS Company,"Chitwan, bharatpur","Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Various Positions,Interactive Computer Systems p. ltd.,Surkhet,"Electronics / Electrical, Computer - Hardware / Network, Office Assistant"
शिलबन्दी बोलपत्र आह्वानको सूचना (Dairy Equipment),Forum for Rural Welfare and Agricultural Reform for Development (FORWARD) Nepal,"Dhangadhi, Banke","Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Programme Officer,﻿﻿﻿﻿﻿﻿CBM Global Nepal Country Office,Kathmandu,
Assessment and Design Specialist / Finance and Admin Coordinator,World Vision International Nepal,Kalikot,"Accounting and Finance, Development and Project, Finance &amp; Administration, Development / INGO"
Marketing Executives,Bela Nepal Industries,Kathmandu,"Construction Services, Marketing, Computer - Multimedia Programming, Business Development, Computer - Internet Marketing, Internet Marketing, Marketing Representatives, Client Servicing Representative"
Tender Notice/ Request for Quotation (RFQ),HURENDEC,Lumbini Province,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Research and Data Quality Officer,USAID Karnali Water Activity,Kailali,"Development and Project, Development / INGO"
REQUEST FOR APPLICATION (RFA): Barefoot Research Activities,The Asia Foundation,Kathmandu,"Development and Project, Research"
Finance Coordinator based in Kathmandu,People in  Need,"Madhesh Province, Sudurpashchim Province",
Call for Expression of Interest (EOI),Youth Alliance for Development,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
Water Supply Engineer,Civil Tech Pvt. Ltd.,Kathmandu,Engineering - Civil
Terms of Reference (ToR) For Market Assessment to explore Non-traditional Enterprise Opportunities and Business Model Development for the identified key enterprises for Marginalized Youths,FCA,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid"
Request for Proposal-Annual Monitoring Survey 2024,USAID Karnali Water Activity,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO"
Research Assistant,Practical Action Consulting,"Kathmandu, Pokhara","Development and Project, Research Officer"
Software Engineer – Salesforce Developer,ComplianceQuest Nepal Pvt Ltd,Lalitpur,"Computer  - Technology/Management, Engineering - Software, Software Development"
Expression of Interest (EOI) for Statutory Audit,dZi Foundation,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Node JS/React JS Developers,Evolve,Kathmandu,
Request for Quotation for “Hotel Accommodation” (National Staffs),USAID Biodiversity (Jal Jangal),Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Business Development Officer,Mandala Agrifresh Pvt Ltd,Kathmandu,"Sales, Marketing, Business Development"
National Programme Officer - Federal State Building,Embassy of Switzerland in Nepal,Kathmandu,Development and Project
USAID/Nepal GESI and Qualitative Research Specialist,Bixal,Kathmandu,Development and Project
USAID/Nepal Seed and Fertilizer Final Performance Evaluation - Evaluation Specialist,Bixal,"Kathmandu, Bhaktapur, Lalitpur",Development and Project
Institutional Funding Manager,﻿﻿﻿﻿﻿﻿CBM Global Nepal Country Office,"Kathmandu, Bhaktapur, Lalitpur",
USAID/Nepal Seed and Fertilizer Final Performance Evaluation Agricultural Market System Expert (Senior),Bixal,"Kathmandu, Bhaktapur, Lalitpur",Development and Project
Senior Java Developer,Verisk Nepal Pvt. Ltd.,Bajhang,"Information Technology, Web Development"
Ruby Developer,Verisk Nepal Pvt. Ltd.,Far-Western Region,"Information Technology, Engineering - Software"
Product Officer and Operation Officer For Bijuli Power,Aloi Private Limited,Kathmandu,"Research, Business Development"
Product Lead For Bijuli Power and Product Officer For Krishala Product,Aloi Private Limited,Dhangadhi,"Product Management, Research, Business Development"
Sales and Marketing Manager,Aloi Private Limited,"Surkhet, Dang, Lumbini Province","Public Relation / Advertising, Graphic Design, Customer Service, Marketing"
कम्प्यूटर ल्यावको लागि फर्निचर सामाग्रीहरूको दरभाउ पत्र आह्वान सम्बन्धि सूचना,"Progressive Youth Society, Chainpur Bajhang",Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
"Various Position (Project Manager; Monitoring, Evaluation and Learning Officer, District Project Coordinator and Technical Associate)",Integrated Development Society-Nepal (IDS-Nepal),Kathmandu,NGO/INGO/Social work
Math Article Writers Wanted,AIM Math- Nepal,Kathmandu,Content Writing
Energy Advisor (For Dhangadhi),SNV Nepal,Lalitpur,Development and Project
Energy Advisor (For Dang or Surkhet),SNV Nepal,Kathmandu,Development and Project
Customer Success Executive,Evolve,Kathmandu,Information Technology
Software Engineer - Java / Java Developer,Code Fusion Technologies Pvt. Ltd.,Kathmandu,"Computer - System Programming, Engineering - Computer, Computer - Programming, Mobile App Development, Software Development"
Request for Proposal for Cleaning Services,Deloitte,Rasuwa,"Development and Project, Expression of Interests, Tender Notice, Bid"
Request for Quotation,MinErgy Private Limited,Myagdi District,"Development and Project, Expression of Interests, Tender Notice, Bid"
IT Service,Deloitte,"Kathmandu, Bhaktapur, Lalitpur, Pokhara, Terai Region, Eastern Region, Western Region, Far-Western Region, Damak, Kavre, Mahendra Nagar","Information Technology, Development and Project"
"Technical Coordinator, Anticipatory Action (Open to Nepali nationals only)",International Federation of Red Cross and Red Crescent Societies (IFRC),Kathmandu,"Technical, Development and Project, Environment and climate"
Engineering Manager (Technical Manager - Full Stack Java/.Net),Verisk Nepal Pvt. Ltd.,Kathmandu,"Information Technology, Engineering - Software"
कृषि सेवा प्राविधिक / पशु सेवा प्राविधिक,NABIC - Nepal Agribusiness Innovation Centre,"New Baneshwor, Kathmandu","Agriculture + Livestock, Development and Project, Development / NGO"
Java Programmer,Nepcert Pvt Ltd,"Kathmandu, New Baneshwor, Kathmandu",
Shift Incharge/Engineer/Plant Operator/Headworks Gate Operator,Reputed Hydropower Company in Myagdi,Kathmandu,"Engineering - Electrical, Engineering - Mechanical"
Affiliate Manager (English + Nepali) (+Hindi/ Urdu/ Bengali optional),Insolutions,Kathmandu,"Public Relation / Advertising, E-Commerce, Web Promotion , Research, Social Marketer"
Program Officer (Data For Development),NAXA,Lalitpur,"Development and Project, Communication, Data collection"
Dot Net Developer ( Data ),Verisk Nepal Pvt. Ltd.,Lalitpur,"Information Technology, Web Development"
सूची दर्ता सम्बन्धी सूचना,FEDERATION OF HANDICRAFT ASSOCIATIONS OF NEPAL,Kathmandu,"Logistics / Procurement, Expression of Interests, Tender Notice, Bid"
.NET Blazor Developer,Uranus Tech Nepal Pvt Ltd,Bhaktapur,"Database Programming, Computer - Programming, Web Designing and Programming"
Flutter Developer (Entry / Mid Level),Uranus Tech Nepal Pvt Ltd,Kathmandu,"Web Designing &amp; Programming, Computer - Programming, Mobile App Development"
