Job Title,Company,Location,Category
Customer Service Representative (Female Only),Brothermart Pvt Ltd,Kathmandu,"Customer Service, Front Desk / Reception"
Monitoring and Evaluation Assistant,Women Association for Marginalized Women (WAM) Surkhet,Birendranagar Surkhet,"Development and Project, Development / NGO"
Psychologist,Spinal Injury Sangh Nepal (SISN),Kavrepalanchowk,Health Medicine
Invitation for Bids,FAYA Nepal,"Dhangadhi, Kailali",Construction Services
Project Manager,Verisk Nepal Pvt. Ltd.,Kathmandu,Information Technology
Invitation for sealed bids For the supply of Pustak Thaili,KIRDARC-Nepal,Kalikot,"Development and Project, Expression of Interests, Tender Notice, Bid"
Brand Manager,Good Smile Dental,"Lalitpur, Pokhara",Public Relation / Advertising
Request for Sealed Proposal (RfP) Notice For Consultancy Assignment,LI-BIRD,"Dhangadhi, Kailali","Agriculture, Development and Project, Expression of Interests, Tender Notice, Bid"
Request for Proposal (RFP) for the Consultancy Services,CSSD Kailali,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Expression of Interest (EOI),Voices of Women Media,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Video Production"
Nutrition cum Quality Control Officer,Food For Life Nepal,"Kavrepalanchowk, Kalikot, Achham","Development and Project, Food Technology"
Agro-Forestry Officer / Junior Technical Assistant (JTAs),ECOHIMAL NEPAL,Pokhara,"Development and Project, Agriculture / Horticulture, Development / NGO"
"Invitation for Bids for the Procurement, Supply and Commissioning of Various Medical Equipments",International Nepal Fellowship,"Kathmandu, Pokhara, Kaski","Development and Project, Expression of Interests, Tender Notice, Bid"
होस्टेल वार्डेन / आउटरिच ओर्कर,Shakti Samuha,Jumla,"Development and Project, Development / NGO"
Multiple Positions,KIRDARC-Nepal,Nepalgunj,"Education, Development and Project, Development / Administrative"
Program Officer,Heifer International Nepal,"Nepalgunj, bharatpur, Dhangadhi","Development and Project, Development / INGO"
Senior Program Manager,CREASION,Lalitpur,"Development and Project, Environment and Natural Resource"
Business and Market Systems Trainee,Winrock International (Feed the Future Nepal USAID Agricultural Inputs),Chitwan,"Accounting and Finance, Development and Project, Development / INGO"
Request for Proposal (RFP) for Baseline Survey,DanChurchAid (DCA),Nepalgunj,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO"
Vacancies for various positions on Inclusive Education,Autism Care Chitwan Society,Kalikot,"Education, Development and Project, Development / Administrative, NGO/INGO/Social work"
Admin and Finance Officer,Bheri Environmental Excellence Group (BEE-Group) Banke,Kathmandu,"Development and Project, Finance &amp; Administration"
शिलबन्दी बोलपत्र आह्वानको सूचना,KIRDARC-Nepal,"Janakpur, Surkhet","Development and Project, Expression of Interests, Tender Notice, Bid"
Senior Client Servicing Representative / Client Servicing Representative,Trikon Advertising Service,"Rajbiraj, Saptari","Customer Service, Client Servicing Representative"
Vacancy Announcement Digital and Communication Specialist,CARE Nepal,Lalitpur,"Development and Project, Communication"
"Field Officer - Health (MNH, SHN &amp; ARSH)","Save the Saptari, Rajbiraj","Rupandehi, Lumbini Province","Public Health, Development and Project, Development / NGO, Nursing"
EOI-Consultancy Service for Geo-spatial feature digitization for Mohana and Macheli Watershed,Mercy Corps,Kathmandu,"Expression of Interests, Tender Notice, Bid, Development / INGO"
Terms of Reference (TOR) to identify and implement school-based preparedness actions by mobilizing local disaster management committees,Center for Development and Disaster Management (CDM-Nepal),Kathmandu,"Engineering - Environment, Development and Project, Environment and Natural Resource, Development / NGO, Development / INGO, NGO/INGO/Social work, Environment and climate"
Project Team Leader  for Gandaki Basin Climate Resilient Project (GBCRP) - (Full time individual consultant),IUCN Nepal,Kathmandu,Consulting &amp; Professional Services
Request for Proposal,Rural Reconstruction Nepal,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
Procurement Logistics Assistant,IOM Nepal,Lalitpur,"Administrative / Management, Accounting and Finance, Development and Project"
