Job Title,Company,Location,Category
SALES EXECUTIVE,Gurkha Watch and Accessories,Kathmandu,Sales
Program Lead,Global Green Growth Institute- Nepal Program,Kathmandu,"Engineering - Environment, Development and Project"
EOI आह्वान,Rural Women Upliftment Association (RWUA),Sarlahi,"Expression of Interests, Tender Notice, Bid"
Nutrition Field Officer,Integrated Rural Development Society,Mahottari,"Public Health, Development and Project"
Software ﻿QA Engineer Testing,CodeBee Nepal Pvt. Ltd.(Sister Concern Of WallBee APS),Kathmandu,"Engineering - Software, Software Development"
Software Developer Dot Net,CodeBee Nepal Pvt. Ltd.(Sister Concern Of WallBee APS),Kathmandu,"Engineering - Software, Software Development"
"Interpreter, Translator, Bridge Engineer, Highway Engineer, HSE, Civil Engineer, Office Staff",Poly Changda Engineering Company,Terai Region,"Engineering - Civil, Engineering - Structural, Office Assistant"
Expression of Interest to Conduct Training of Trainers (TOT),Access Planet Organization,Rupandehi,"Development and Project, Expression of Interests, Tender Notice, Bid"
Admin Associate,Bagmati Welfare Society Nepal(BWSN),Sarlahi,"Administrative / Management, Development and Project"
बाख्रा आपुर्ति सम्बन्धि टेण्डर आह्वान गरिएको सूचना,CEAD Nepal Doti,Doti,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
VT Mobiliser (1 Female only)-Residential,Opportunity Village Nepal,Pokhara,"Development and Project, Business Administration, NGO/INGO/Social work"
Call for Proposal for consultancy service,Association of Community Radio Broadcasters Nepal,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid"
Individual Consultant - Capacity Building Officer,UNDP,Okhaldhunga,"Development and Project, Environment and climate"
Province Director,KIRDARC-Nepal,Birendranagar Surkhet,"Education, Social Science, Development and Project"
Various,Vijay Motors Pvt. Ltd.,Kathmandu,Automotive / Automobiles
Crew Member (All-rounder),JobsNepal.com Direct Recruitment Service,Kathmandu,Hospitality / Hotel
Administrative Officer,JobsNepal.com Direct Recruitment Service,Kathmandu,Administrative / Management
"Re-Call for Proposal for Consultancy for assessing the capacity of PHTC to conduct SRHR training and training need assessment in Madhesh, Lumbini and Sudurpaschim Provinces",ADRA Nepal,"Madhesh Province, Lumbini Province, Sudurpashchim Province","Development and Project, Employment Training"
MEAL Technical Officer,People in  Need,,
MEAL-CFRM Coordinator,People in  Need,Kathmandu,"Development and Project, Development / NGO"
Consultant to develop a Climate Resilient Health Facility Emergency Preparedness and Management Plan,International Federation of Red Cross and Red Crescent Societies (IFRC),Pokhara,"Public Health, Development and Project, Research Officer"
Quality Improvement Manager / Research Officer (Re-Vacancy),International Nepal Fellowship,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid"
कृषि सामग्रीहरू खरिदको लागि सिलबन्दी दरभाउपत्र आह्वानको सूचना,Lele Community Development Center,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
Call for Expression of Interest (EOI),United Mission to Nepal,Dadeldhura,"Development and Project, Development / NGO"
Project Coordinator,Astha Nepal,Janakpur,"Development and Project, Finance & Administration"
कर्मचारीको आवश्यक्ता,AANGAN,Lalitpur,Information Technology
Senior Python Engineer,Javra Software Nepal Pvt. Ltd.,"Mahashila 5, Parbat, Gandaki Province","Accounting and Finance, Development and Project, Finance & Administration, Agriculture/Livelihood"
लेखा अधिकृत/कृषि प्राविधिक/प्रशोधन केन्द्र व्यवस्थापक,"ENPRED, Nepal","Rupandehi, Lumbini Province","Development / NGO, Development / INGO, NGO/INGO/Social work"
"Terms of Reference (TOR) for conducting a study to identify green jobs opportunities, major challenges and suggest strategies for nature-based solutions including value chain analysis",Center for Development and Disaster Management (CDM-Nepal),"Gandaki Province, Bagmati Province, Lumbini Province, Koshi Pradesh","Administrative / Management, Tourism Industry, Development and Project"
Short Term Technical Assistance (STTA),Deloitte,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
छात्रवृत्तिका लागि आवेदन सम्बन्धि सूचना !,Nepal National Dalit Social Welfare Organization (NNDSWO),Sindhuli,"Development and Project, Development / NGO"
Programme Manager,Sindhuli Integrated Development Services Nepal (SIDS Nepal),"Madhesh Province, Lumbini Province","Development and Project, Expression of Interests, Tender Notice, Bid"
Re- Request for Application (RFA),The Asia Foundation,Surkhet,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
शिलवन्दी कोटेशन आह्वान सम्वन्धि सूचना,Social Awareness Center SAC Nepal,Nuwakot,Hydropower
Sub Overseer (civil/electrical/mechanical),Buddhabhumi Nepal Hydropower Company Ltd.,Kathmandu,Development and Project
Request for Full Application,Deloitte,Kathmandu,Accounting and Finance
Accountant,Buddhabhumi Nepal Hydropower Company Ltd.,Kathmandu,"Technical, Development and Project, Food Technology"
Technical Expert Food Systems and Nutrition,Welthungerhilfe,Chitwan,"Agriculture, Education, Social Science, Development and Project"
कर्मचारी पदपूर्ति सम्बन्धि सूचना,National Federation of the Deaf Nepal (NDFN),"Rukum West, Jajarkot","Engineering - Architecture, Development and Project, Engineering, Engineering - Structural"
Senior Project Associate (Engineering),IOM Nepal,Kathmandu,"Development and Project, Development / NGO"
Project Officer (PO),Rural Women's Development and Unity Centre (RUWDUC),Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO"
