Currency,Unit,Name,ISO3,Buy,Sell
INR,100,Indian Rupee,INR,160.00,160.15
USD,1,U.S. Dollar,USD,116.72,117.32
EUR,1,European Euro,EUR,137.74,138.44
GBP,1,UK Pound Sterling,GBP,151.08,151.85
CHF,1,Swiss Franc,CHF,127.89,128.55
AUD,1,Australian Dollar,AUD,83.90,84.33
CAD,1,Canadian Dollar,CAD,88.65,89.10
SGD,1,Singapore Dollar,SGD,86.12,86.56
JPY,10,Japanese Yen,JPY,11.02,11.08
CNY,1,Chinese Yuan,CNY,17.41,17.50
SAR,1,Saudi Arabian Riyal,SAR,31.11,31.27
QAR,1,Qatari Riyal,QAR,32.06,32.22
THB,1,Thai Baht,THB,3.76,3.78
AED,1,UAE Dirham,AED,31.78,31.94
MYR,1,Malaysian Ringgit,MYR,28.21,28.35
KRW,100,South Korean Won,KRW,10.19,10.25
SEK,1,Swedish Kroner,SEK,13.19,13.26
DKK,1,Danish Kroner,DKK,18.50,18.60
HKD,1,Hong Kong Dollar,HKD,15.06,15.14
KWD,1,Kuwaity Dinar,KWD,381.30,383.26
BHD,1,Bahrain Dinar,BHD,309.51,311.10
