Bank Name,Established,Headquarters,Level
Agriculture Development Bank,1968,"Ramshahpath, Kathmandu",A
Nepal Bank,1937,"Bhugol Park, Kathmandu",A
Rastriya Banijya Bank,1966,"Singhadurbarplaza, Kathmandu",A
Citizens Bank International Limited,2007,"Narayanhitipath, Kathmandu",A
Everest Bank,1994,"Lazimpat, Kathmandu",A
Global IME Bank Limited,2023,"Kamaladi, Kathmandu",A
Himalayan Bank,1993,"Kamaladi, Kathmandu",A
Kumari Bank,2023,"Naxal, Kathmandu",A
Laxmi Sunrise Bank,2023,"Hattisar, Kathmandu",A
Machhapuchhre Bank,2012,"Lazimpat, Kathmandu",A
Nabil Bank,1984,"Teendhara, Kathmandu",A
Nepal Investment Mega Bank,2023,"Durbarmarg, Kathmandu",A
Nepal SBI Bank,1993,"Kesharmahal, Kathmandu",A
NIC Asia Bank,2013,"Thapathali, Kathmandu",A
NMB Bank,2008,"Babarmahal, Kathmandu",A
Prabhu Bank,2023,"Anamnagar, Kathmandu",A
Prime Commercial Bank,2007,"Kamalpokhari, Kathmandu",A
Sanima Bank,2012,"Narayanchaur, Kathmandu",A
Siddhartha Bank,2002,"Hattisar, Kathmandu",A
Standard Chartered Bank,1987,"Nayabaneshwor, Kathmandu",A
Corporate Development Bank,2007,"Birgunj, Madhesh",B
Excel Development Bank,2005,"Birtamod, Koshi",B
Garima Bikas Bank,2007,"Lazimpat, Kathmandu",B
Green Development Bank,2013,"Pokhara, Gandaki",B
Jyoti Bikas Bank,2008,"Kamaladi, Kathmandu",B
Kamana Sewa Bikas Bank,2006,"Gyaneshwor, Kathmandu",B
Karnali Development Bank,2004,"Nepalgunj, Lumbini",B
Lumbini Bikas Bank,1998,"Dillibazaar, Kathmandu",B
Mahalaxmi Development Bank,1995,"Durbar Marg, Kathmandu",B
Miteri Development Bank,2006,"Dharan, Koshi",B
Muktinath Bikash Bank,2007,"Kamaladi, Kathmandu",B
Narayani Development Bank,2001,"Ratnanagar, Bagmati",B
Salapa Bikash Bank,2013,"Diktel, Koshi",B
Saptakoshi Development Bank,2012,"Dhankuta, Koshi",B
Sangrila Development Bank,2014,"Baluwatar, Kathmandu",B
Shine Resunga Development Bank,2013,"Butwal, Lumbini",B
Sindhu Bikas Bank,2010,"Barhabise, Bagmati",B
Best Finance,1995,"Chabahil, Kathmandu",C
Capital Merchant Banking & Finance,2002,"Battisputali, Kathmandu",C
Central Finance,1996,"Kupondole, Lalitpur",C
Gurkhas Finance,1994,"Dillibazar, Kathmandu",C
Goodwill Finance,1995,"Hattisar, Kathmandu",C
Guheshwori Merchant Banking & Finance,2002,"Pulchowk, Lalitpur",C
ICFC Finance,2004,"Bhatbhateni, Kathmandu",C
Janaki Finance,1997,"Janakpurdham, Madhesh",C
Manjushree Finance,2007,"Nayabaneshwor, Kathmandu",C
Multipurpose Finance,1998,"Rajbiraj, Madhesh",C
Nepal Finance,1993,"Kamaladi, Kathmandu",C
Nepal Share Markets and Finance,1993,"Ramshahapath, Kathmandu",C
Pokhara Finance,1997,"Pokhara, Gandaki",C
Progressive Finance,1996,"New Road, Kathmandu",C
Reliance Finance,2009,"Pradarsani Marg, Kathmandu",C
Samriddhi Finance Company,2001,"Hetauda, Bagmati",C
Shree Investment & Finance,1994,"Dillibazar, Kathmandu",C
