Currency_Code,Currency,Country
AFN,Afghani,AFGHANISTAN
EUR,Euro,ÅLAND ISLANDS
ALL,Lek,ALBANIA
DZD,Algerian Dinar,ALGERIA
USD,US Dollar,AMERICAN SAMOA
EUR,Euro,ANDORRA
AOA,Kwanza,ANGOLA
XCD,East Caribbean Dollar,ANGUILLA
,No universal currency,ANTARCTICA
XCD,East Caribbean Dollar,ANTIGUA AND BARBUDA
ARS,Argentine Peso,ARGENTINA
AMD,Armenian Dram,ARMENIA
AWG,Aruban Florin,ARUBA
AUD,Australian Dollar,AUSTRALIA
EUR,Euro,AUSTRIA
AZN,Azerbaijanian Manat,AZERBAIJAN
BSD,Bahamian Dollar,BAHAMAS (THE)
BHD,Bahraini Dinar,BAHRAIN
BDT,Taka,BANGLADESH
BBD,Barbados Dollar,BARBADOS
BYN,Belarussian Ruble,BELARUS
EUR,Euro,BELGIUM
BZD,Belize Dollar,BELIZE
XOF,CFA Franc BCEAO,BENIN
BMD,Bermudian Dollar,BERMUDA
BTN,Ngultrum,BHUTAN
INR,Indian Rupee,BHUTAN
BOB,Boliviano,BOLIVIA (PLURINATIONAL STATE    OF)
BOV,Mvdol,BOLIVIA (PLURINATIONAL STATE    OF)
USD,US Dollar,"BONAIRE, SINT EUSTATIUS AND    SABA"
BAM,Convertible Mark,BOSNIA AND HERZEGOVINA
BWP,Pula,BOTSWANA
NOK,Norwegian Krone,BOUVET ISLAND
BRL,Brazilian Real,BRAZIL
USD,US Dollar,BRITISH INDIAN OCEAN    TERRITORY (THE)
BND,Brunei Dollar,BRUNEI DARUSSALAM
BGN,Bulgarian Lev,BULGARIA
XOF,CFA Franc BCEAO,BURKINA FASO
BIF,Burundi Franc,BURUNDI
CVE,Cabo Verde Escudo,CABO VERDE
KHR,Riel,CAMBODIA
XAF,CFA Franc BEAC,CAMEROON
CAD,Canadian Dollar,CANADA
KYD,Cayman Islands Dollar,CAYMAN ISLANDS (THE)
XAF,CFA Franc BEAC,CENTRAL AFRICAN REPUBLIC    (THE)
XAF,CFA Franc BEAC,CHAD
CLF,Unidad de Fomento,CHILE
CLP,Chilean Peso,CHILE
CNY,Yuan Renminbi,CHINA
AUD,Australian Dollar,CHRISTMAS ISLAND
AUD,Australian Dollar,COCOS (KEELING) ISLANDS (THE)
COP,Colombian Peso,COLOMBIA
COU,Unidad de Valor Real,COLOMBIA
KMF,Comoro Franc,COMOROS (THE)
CDF,Congolese Franc,CONGO (THE DEMOCRATIC    REPUBLIC OF THE)
XAF,CFA Franc BEAC,CONGO (THE)
NZD,New Zealand Dollar,COOK ISLANDS (THE)
CRC,Costa Rican Colon,COSTA RICA
XOF,CFA Franc BCEAO,CÔTE D'IVOIRE
EUR,Euro,CROATIA
CUC,Peso Convertible,CUBA
CUP,Cuban Peso,CUBA
ANG,Netherlands Antillean Guilder,CURAÇAO
EUR,Euro,CYPRUS
CZK,Czech Koruna,CZECH REPUBLIC (THE)
DKK,Danish Krone,DENMARK
DJF,Djibouti Franc,DJIBOUTI
XCD,East Caribbean Dollar,DOMINICA
DOP,Dominican Peso,DOMINICAN REPUBLIC (THE)
USD,US Dollar,ECUADOR
EGP,Egyptian Pound,EGYPT
SVC,El Salvador Colon,EL SALVADOR
USD,US Dollar,EL SALVADOR
XAF,CFA Franc BEAC,EQUATORIAL GUINEA
ERN,Nakfa,ERITREA
EUR,Euro,ESTONIA
ETB,Ethiopian Birr,ETHIOPIA
EUR,Euro,EUROPEAN UNION
FKP,Falkland Islands Pound,FALKLAND ISLANDS (THE)    [MALVINAS]
DKK,Danish Krone,FAROE ISLANDS (THE)
FJD,Fiji Dollar,FIJI
EUR,Euro,FINLAND
EUR,Euro,FRANCE
EUR,Euro,FRENCH GUIANA
XPF,CFP Franc,FRENCH POLYNESIA
EUR,Euro,FRENCH SOUTHERN TERRITORIES    (THE)
XAF,CFA Franc BEAC,GABON
GMD,Dalasi,GAMBIA (THE)
GEL,Lari,GEORGIA
EUR,Euro,GERMANY
GHS,Ghana Cedi,GHANA
GIP,Gibraltar Pound,GIBRALTAR
EUR,Euro,GREECE
DKK,Danish Krone,GREENLAND
XCD,East Caribbean Dollar,GRENADA
EUR,Euro,GUADELOUPE
USD,US Dollar,GUAM
GTQ,Quetzal,GUATEMALA
GBP,Pound Sterling,GUERNSEY
GNF,Guinea Franc,GUINEA
XOF,CFA Franc BCEAO,GUINEA-BISSAU
GYD,Guyana Dollar,GUYANA
HTG,Gourde,HAITI
USD,US Dollar,HAITI
AUD,Australian Dollar,HEARD ISLAND AND McDONALD    ISLANDS
EUR,Euro,HOLY SEE (THE)
HNL,Lempira,HONDURAS
HKD,Hong Kong Dollar,HONG KONG
HUF,Forint,HUNGARY
ISK,Iceland Krona,ICELAND
INR,Indian Rupee,INDIA
IDR,Rupiah,INDONESIA
XDR,SDR (Special Drawing Right),INTERNATIONAL MONETARY FUND    (IMF)&nbsp;
IRR,Iranian Rial,IRAN (ISLAMIC REPUBLIC OF)
IQD,Iraqi Dinar,IRAQ
EUR,Euro,IRELAND
GBP,Pound Sterling,ISLE OF MAN
ILS,New Israeli Sheqel,ISRAEL
EUR,Euro,ITALY
JMD,Jamaican Dollar,JAMAICA
JPY,Yen,JAPAN
