Relation,Category,Age
Grandfather,Senior,35
Grandmother,Senior,40
Grandson,Junior,18
Granddaughter,Junior,17
Father,Senior,42
Mother,Senior,38
Son,Junior,19
Daughter,Junior,16
Husband,Senior,36
Wife,Senior,33
Brother,Junior,20
Sister,Junior,18
Uncle,Senior,45
Aunt,Senior,48
Nephew,Junior,18
Niece,Junior,19
Cousin,Junior,17
Greatgrandfather,Senior,80
Greatgrandmother,Senior,75
Greatgrandson,Junior,16
Greatgranddaughter,Junior,18
Greatuncle,Senior,65
Greataunt,Senior,60
Greatnephew,Junior,17
Greatniece,Junior,15
Second cousin,Junior,19
Third cousin,Junior,18
Fourth cousin,Junior,20
Fifth cousin,Junior,19
Stepfather,Senior,55
Stepmother,Senior,50
Stepson,Junior,16
Stepdaughter,Junior,17
brother,Junior,18
sister,Junior,19
Godfather,Senior,58
Godmother,Senior,62
Godson,Junior,15
Goddaughter,Junior,16
Sponsor,Senior,40
Ward,Junior,18
Adoptive parents,Senior,50
Adopted children,Junior,17
Foster parents,Senior,45
Foster children,Junior,19
Legal guardian,Senior,55
Ward,Junior,20
Mentor,Senior,60
Mentee,Junior,19
