Job Title,Company,Location,Category
Software ﻿QA Engineer Testing,CodeBee Nepal Pvt. Ltd.(Sister Concern Of WallBee APS),Kathmandu,"Engineering - Software, Software Development"
Software Developer Dot Net,CodeBee Nepal Pvt. Ltd.(Sister Concern Of WallBee APS),Kathmandu,"Engineering - Software, Software Development"
"Interpreter, Translator, Bridge Engineer, Highway Engineer, HSE, Civil Engineer, Office Staff",Poly Changda Engineering Company,Terai Region,"Engineering - Civil, Engineering - Structural, Office Assistant"
Expression of Interest to Conduct Training of Trainers (TOT),Access Planet Organization,Rupandehi,"Development and Project, Expression of Interests, Tender Notice, Bid"
Admin Associate,Bagmati Welfare Society Nepal(BWSN),Sarlahi,"Administrative / Management, Development and Project"
बाख्रा आपुर्ति सम्बन्धि टेण्डर आह्वान गरिएको सूचना,CEAD Nepal Doti,Doti,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Call for Proposal for consultancy service,Association of Community Radio Broadcasters Nepal,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid"
Individual Consultant - Capacity Building Officer,UNDP,Okhaldhunga,"Development and Project, Environment and climate"
Province Director,KIRDARC-Nepal,Birendranagar Surkhet,"Education, Social Science, Development and Project"
Various,Vijay Motors Pvt. Ltd.,Kathmandu,Automotive / Automobiles
Crew Member (All-rounder),JobsNepal.com Direct Recruitment Service,Kathmandu,Hospitality / Hotel
Administrative Officer,JobsNepal.com Direct Recruitment Service,Kathmandu,Administrative / Management
