Job Title,Company,Location,Category
Project Team Leader  for Gandaki Basin Climate Resilient Project (GBCRP) - (Full time individual consultant),IUCN Nepal,Kathmandu,Consulting &amp; Professional Services
Procurement Logistics Assistant,IOM Nepal,Kathmandu,"Administrative / Management, Accounting and Finance, Development and Project"
Call for Applications for Consultancy Services (Individual) -  GCF Readiness Programme,IUCN Nepal,Kathmandu,Consulting &amp; Professional Services
Senior Front End Developer,Percoid IT Solutions,Lalitpur,"Engineering - Software, Computer - Programming, Software Development"
Call for EOI to produce and supply Hygiene Behaviour Change package materials for WASH GAINS,WaterAid Nepal,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Program Support Officer (PSO),AWO International,Kathmandu,"Development and Project, Development / INGO"
Expression of Interest for conduction of five days training on Comprehensive sexuality education for persons with disabilities,Blind Youth Association Nepal,Pokhara,"Public Health, Educational Training, Social Science, Development and Project, Expression of Interests, Tender Notice, Bid"
Training on Community Driven Sustainable Development (CDSD),Benchmark Research and Training Associates Pvt. Ltd.,"Kavre, Dhulikhel","Development and Project, Employment Training, Expression of Interests, Tender Notice, Bid, Development / NGO, Development / INGO, NGO/INGO/Social work"
Request for Proposal,Rural Community Development Center (RCDC) Besishahar,Lamjung,"Development and Project, Expression of Interests, Tender Notice, Bid"
Enrichment Coordinator- Children Home (Re-Advertisement),Kopila Valley Sewa Samaj,Birendranagar Surkhet,"Social Science, Development and Project"
SALES EXECUTIVE,Gurkha Watch and Accessories,Kathmandu,Sales
"Terms of Reference (ToR) for Evidence Documentation, Knowledge Sharing, and Mass Mobilization",Kalika Self Reliance Social Center,"Kapilvastu, Lumbini Province","Development and Project, Expression of Interests, Tender Notice, Bid"
"Consultancy Service for baseline evaluation of Climate Smart Village Nepal (CSVN) Project in Madhesh Province, Nepal",CARE Nepal,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Various Positions,Animal Health Training and Consultancy Service (AHTCS),"Pokhara, Nepalgunj, Banke","Agriculture + Livestock, Development and Project, Development / NGO, Animal Health"
Program Lead,Global Green Growth Institute- Nepal Program,Kathmandu,"Engineering - Environment, Development and Project"
EOI आह्वान,Rural Women Upliftment Association (RWUA),Sarlahi,"Expression of Interests, Tender Notice, Bid"
Nutrition Field Officer,Integrated Rural Development Society,Mahottari,"Public Health, Development and Project"
Software ﻿QA Engineer Testing,CodeBee Nepal Pvt. Ltd.(Sister Concern Of WallBee APS),Kathmandu,"Engineering - Software, Software Development"
Software Developer Dot Net,CodeBee Nepal Pvt. Ltd.(Sister Concern Of WallBee APS),Kathmandu,"Engineering - Software, Software Development"
"Interpreter, Translator, Bridge Engineer, Highway Engineer, HSE, Civil Engineer, Office Staff",Poly Changda Engineering Company,Terai Region,"Engineering - Civil, Engineering - Structural, Office Assistant"
Expression of Interest to Conduct Training of Trainers (TOT),Access Planet Organization,Rupandehi,"Development and Project, Expression of Interests, Tender Notice, Bid"
Admin Associate,Bagmati Welfare Society Nepal(BWSN),Sarlahi,"Administrative / Management, Development and Project"
बाख्रा आपुर्ति सम्बन्धि टेण्डर आह्वान गरिएको सूचना,CEAD Nepal Doti,Doti,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
VT Mobiliser (1 Female only)-Residential,Opportunity Village Nepal,Pokhara,"Development and Project, Business Administration, NGO/INGO/Social work"
Call for Proposal for consultancy service,Association of Community Radio Broadcasters Nepal,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid"
Individual Consultant - Capacity Building Officer,UNDP,Okhaldhunga,"Development and Project, Environment and climate"
Province Director,KIRDARC-Nepal,Birendranagar Surkhet,"Education, Social Science, Development and Project"
Various Positions,Vijay Motors Pvt. Ltd.,Kathmandu,"Automotive / Automobiles, Accounting and Finance, Marketing"
Crew Member (All-rounder),JobsNepal.com Direct Recruitment Service,Kathmandu,Hospitality / Hotel
Administrative Officer,JobsNepal.com Direct Recruitment Service,Kathmandu,Administrative / Management
"Re-Call for Proposal for Consultancy for assessing the capacity of PHTC to conduct SRHR training and training need assessment in Madhesh, Lumbini and Sudurpaschim Provinces",ADRA Nepal,"Madhesh Province, Lumbini Province, Sudurpashchim Province","Development and Project, Employment Training"
Consultant to develop a Climate Resilient Health Facility Emergency Preparedness and Management Plan,International Federation of Red Cross and Red Crescent Societies (IFRC),Kathmandu,"Development and Project, Development / NGO"
Quality Improvement Manager / Research Officer (Re-Vacancy),International Nepal Fellowship,Pokhara,"Public Health, Development and Project, Research Officer"
कृषि सामग्रीहरू खरिदको लागि सिलबन्दी दरभाउपत्र आह्वानको सूचना,Lele Community Development Center,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid"
Call for Expression of Interest (EOI),United Mission to Nepal,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
Project Coordinator,Astha Nepal,Dadeldhura,"Development and Project, Development / NGO"
कर्मचारीको आवश्यक्ता,AANGAN,Janakpur,"Development and Project, Finance &amp; Administration"
Senior Python Engineer,Javra Software Nepal Pvt. Ltd.,Lalitpur,Information Technology
लेखा अधिकृत/कृषि प्राविधिक/प्रशोधन केन्द्र व्यवस्थापक,"ENPRED, Nepal","Mahashila 5, Parbat, Gandaki Province","Accounting and Finance, Development and Project, Finance &amp; Administration, Agriculture/Livelihood"
"Terms of Reference (TOR) for conducting a study to identify green jobs opportunities, major challenges and suggest strategies for nature-based solutions including value chain analysis",Center for Development and Disaster Management (CDM-Nepal),"Rupandehi, Lumbini Province","Development / NGO, Development / INGO, NGO/INGO/Social work"
Short Term Technical Assistance (STTA),Deloitte,"Gandaki Province, Bagmati Province, Lumbini Province, Koshi Pradesh","Administrative / Management, Tourism Industry, Development and Project"
छात्रवृत्तिका लागि आवेदन सम्बन्धि सूचना !,Nepal National Dalit Social Welfare Organization (NNDSWO),Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Programme Manager,Sindhuli Integrated Development Services Nepal (SIDS Nepal),Sindhuli,"Development and Project, Development / NGO"
Re- Request for Application (RFA),The Asia Foundation,"Madhesh Province, Lumbini Province","Development and Project, Expression of Interests, Tender Notice, Bid"
शिलवन्दी कोटेशन आह्वान सम्वन्धि सूचना,Social Awareness Center SAC Nepal,Surkhet,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Sub Overseer (civil/electrical/mechanical),Buddhabhumi Nepal Hydropower Company Ltd.,Nuwakot,Hydropower
Request for Full Application,Deloitte,Kathmandu,Development and Project
Accountant,Buddhabhumi Nepal Hydropower Company Ltd.,Kathmandu,Accounting and Finance
Technical Expert Food Systems and Nutrition,Welthungerhilfe,Kathmandu,"Technical, Development and Project, Food Technology"
कर्मचारी पदपूर्ति सम्बन्धि सूचना,National Federation of the Deaf Nepal (NDFN),Chitwan,"Agriculture, Education, Social Science, Development and Project"
Senior Project Associate (Engineering),IOM Nepal,"Rukum West, Jajarkot","Engineering - Architecture, Development and Project, Engineering, Engineering - Structural"
Project Officer (PO),Rural Women&#039;s Development and Unity Centre (RUWDUC),Kathmandu,"Development and Project, Development / NGO"
Request for Quotation (RFQ) for Duty-Free Scooters (Re-Advertisement),Winrock International (Feed the Future Nepal USAID Agricultural Inputs),Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO"
Vacancy Announcement for Various Positions,Campaign Nepal,"Madhesh Province, Rautahat","Accounting and Finance, Development and Project, Finance &amp; Administration, Development / NGO"
Request Proposal for Engineering Consultant for the Construction of Overhead Tank and Water Distribution System as part of “Health Reform Project 2”,ADRA Nepal,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid"
Consultancy Services on Oxfam Country Strategy (OCS Review),Oxfam in Nepal,Lalitpur,
Request for Proposal and Call for Quotation,Yuwalaya,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Executive Assistant,Well Minded Australia,Kathmandu,Assistant
