company_name,work_hours,job_titles,skills
Johnson PLC,07:16 - 05:00,"['Microbiologist', 'Surveyor, minerals', 'Television floor manager', 'Educational psychologist', 'Tour manager', 'Engineer, aeronautical', 'Scientist, biomedical', 'Engineer, aeronautical', 'Public affairs consultant']","[['hotel', 'church', 'knowledge'], ['take', 'down', 'radio', 'tonight'], ['resource'], ['attention', 'air', 'back', 'situation', 'owner'], ['decade'], ['order'], ['behind', 'act', 'get', 'reflect'], ['walk'], ['couple', 'professional', 'with', 'wish', 'early']]"
Wilson-Brown,18:09 - 11:27,"['Air cabin crew', 'Barrister']","[['than', 'certain'], ['what']]"
Mcclure Inc,21:56 - 23:24,"['Engineer, control and instrumentation', 'Teacher, music', 'Horticulturist, commercial', 'Community development worker', 'Designer, ceramics/pottery', 'Solicitor, Scotland', 'Programmer, applications', 'Professor Emeritus', 'Surveyor, insurance', 'Scientist, forensic']","[['knowledge', 'visit'], ['foot', 'have', 'issue'], ['responsibility', 'structure', 'late', 'near'], ['task'], ['begin'], ['whatever', 'wife', 'message', 'be', 'contain'], ['unit'], ['term', 'information', 'from'], ['hit', 'table', 'guy', 'energy'], ['section', 'official', 'sister', 'return']]"
Mitchell Group,13:11 - 18:47,"['Air traffic controller', 'Computer games developer', 'Volunteer coordinator']","[['science', 'close', 'brother', 'position', 'concern'], ['professional', 'huge', 'other', 'song', 'away'], ['doctor']]"
Johnson-Lucas,02:57 - 13:04,"['Research scientist (medical)', 'Health physicist', 'Editor, commissioning', 'Research scientist (life sciences)', 'Teacher, English as a foreign language', 'Broadcast presenter', 'Merchandiser, retail', 'Tourist information centre manager', 'Engineer, communications']","[['very', 'mention', 'throw', 'will', 'then'], ['put'], ['pattern', 'be', 'couple'], ['rise', 'enjoy', 'common'], ['hit'], ['address'], ['against', 'choice', 'cut', 'until', 'south'], ['new'], ['stand']]"
"Pacheco, Harris and Guzman",17:48 - 12:25,"['Equities trader', 'Psychologist, educational', 'Programmer, systems', 'Fisheries officer', 'English as a foreign language teacher', 'Sales promotion account executive']","[['not', 'authority'], ['administration'], ['individual', 'now', 'firm'], ['catch', 'defense', 'glass', 'less'], ['mission', 'black', 'scientist'], ['enough', 'civil', 'fast', 'finally']]"
Horn Group,13:03 - 13:22,"['Chemist, analytical', 'Medical secretary', 'Horticultural consultant', 'Animal technologist']","[['might', 'situation', 'six', 'president', 'kid'], ['season'], ['character', 'wrong', 'great', 'study'], ['reflect']]"
"Gilbert, Miller and Williams",14:17 - 07:15,"['Customer service manager', 'Facilities manager', 'Recruitment consultant']","[['expect', 'relationship', 'another', 'go', 'work'], ['medical', 'work', 'pick'], ['evidence', 'response', 'door', 'push']]"
Gray-Fox,14:07 - 16:37,"['Hydrographic surveyor', 'Charity officer', 'Sound technician, broadcasting/film/video', 'Immigration officer', 'Insurance broker', 'Armed forces operational officer', 'Local government officer', 'Higher education careers adviser', 'Lobbyist', 'Automotive engineer']","[['oil', 'risk', 'likely', 'nothing', 'car'], ['radio', 'pick', 'experience', 'part', 'real'], ['wonder'], ['region', 'realize', 'reality'], ['general', 'data'], ['improve', 'most', 'never', 'try', 'simply'], ['major', 'huge', 'just', 'reality', 'talk'], ['Congress', 'wind', 'according'], ['then', 'west'], ['pattern', 'attorney']]"
"White, Manning and Perez",15:51 - 12:43,['Media buyer'],"[['partner', 'person', 'your']]"
